SRP Index,SRR Accession Number,Cell Type,Pathogen,Hour Post Infection (HPI),Mock/infected,RNA-seq Type (total/mRNA),Library Type
SRP033647,SRR1046364,A549,RSV,18,mock,Total,PAIRED
SRP033647,SRR1046683,A549,RSV,18,mock,Total,PAIRED
SRP033647,SRR1046797,A549,RSV,18,infected,Total,PAIRED
SRP033647,SRR1046686,A549,RSV,18,infected,Total,PAIRED
SRP060253,SRR2084600,AGS,EBV,NA,mock,Total,PAIRED
SRP060253,SRR2084602,AGS,EBV,NA,mock,Total,PAIRED
SRP060253,SRR2084603,AGS,EBV,NA,infected,Total,PAIRED
SRP060253,SRR2084604,AGS,EBV,NA,infected,Total,PAIRED
SRP078309,SRR3872523,A549,DENV2,0,mock,Total,PAIRED
SRP078309,SRR3872524,A549,DENV2,0,mock,Total,PAIRED
SRP078309,SRR3872525,A549,DENV2,0,mock,Total,PAIRED
SRP078309,SRR3872517,A549,DENV2,36,infected,Total,PAIRED
SRP078309,SRR3872518,A549,DENV2,36,infected,Total,PAIRED
SRP078309,SRR3872519,A549,DENV2,36,infected,Total,PAIRED
SRP091538,SRR4423191,HepG2,HEV,120,mock,Total,PAIRED
SRP091538,SRR4423192,HepG2,HEV,120,mock,Total,PAIRED
SRP091538,SRR4423193,HepG2,HEV,120,mock,Total,PAIRED
SRP091538,SRR4423194,HepG2,HEV,120,mock,Total,PAIRED
SRP091538,SRR4423195,HepG2,HEV,120,infected,Total,PAIRED
SRP091538,SRR4423196,HepG2,HEV,120,infected,Total,PAIRED
SRP091538,SRR4423197,HepG2,HEV,120,infected,Total,PAIRED
SRP091538,SRR4423198,HepG2,HEV,120,infected,Total,PAIRED
SRP094462,SRR5069807,HInEpC,ROTAV,6,mock,Total,PAIRED
SRP094462,SRR5069808,HInEpC,ROTAV,6,mock,Total,PAIRED
SRP094462,SRR5069809,HInEpC,ROTAV,6,infected,Total,PAIRED
SRP094462,SRR5069810,HInEpC,ROTAV,6,infected,Total,PAIRED
SRP101856,SRR5341993,DC,EBOV,24,mock,Total,PAIRED
SRP101856,SRR5341998,DC,EBOV,24,mock,Total,PAIRED
SRP101856,SRR5341994,DC,EBOV,24,infected,Total,PAIRED
SRP101856,SRR5341999,DC,EBOV,24,infected,Total,PAIRED
SRP103819,SRR5444546,HNEpC,HRV,48,mock,Total,PAIRED
SRP103819,SRR5444547,HNEpC,HRV,48,mock,Total,PAIRED
SRP103819,SRR5444548,HNEpC,HRV,48,mock,Total,PAIRED
SRP103819,SRR5444549,HNEpC,HRV,48,mock,Total,PAIRED
SRP103819,SRR5444550,HNEpC,HRV,48,mock,Total,PAIRED
SRP103819,SRR5444551,HNEpC,HRV,48,mock,Total,PAIRED
SRP103819,SRR5444552,HNEpC,HRV,48,infected,Total,PAIRED
SRP103819,SRR5444553,HNEpC,HRV,48,infected,Total,PAIRED
SRP103819,SRR5444554,HNEpC,HRV,48,infected,Total,PAIRED
SRP103819,SRR5444555,HNEpC,HRV,48,infected,Total,PAIRED
SRP103819,SRR5444556,HNEpC,HRV,48,infected,Total,PAIRED
SRP103819,SRR5444557,HNEpC,HRV,48,infected,Total,PAIRED
SRP111145,SRR5807527,ARPE19,EBOV,24,mock,Total,PAIRED
SRP111145,SRR5807531,ARPE19,EBOV,24,mock,Total,PAIRED
SRP111145,SRR5807535,ARPE19,EBOV,24,mock,Total,PAIRED
SRP111145,SRR5807539,ARPE19,EBOV,24,infected,Total,PAIRED
SRP111145,SRR5807543,ARPE19,EBOV,24,infected,Total,PAIRED
SRP111145,SRR5807547,ARPE19,EBOV,24,infected,Total,PAIRED
SRP115192,SRR5924423,HSAEpC,RVFV,18,mock,Total,PAIRED
SRP115192,SRR5924424,HSAEpC,RVFV,18,mock,Total,PAIRED
SRP115192,SRR5924425,HSAEpC,RVFV,18,mock,Total,PAIRED
SRP115192,SRR5924414,HSAEpC,RVFV,18,infected,Total,PAIRED
SRP115192,SRR5924415,HSAEpC,RVFV,18,infected,Total,PAIRED
SRP115192,SRR5924416,HSAEpC,RVFV,18,infected,Total,PAIRED
SRP115192,SRR5924414,HSAEC,RVFV,18,infected,Total,PAIRED
SRP115192,SRR5924415,HSAEC,RVFV,18,infected,Total,PAIRED
SRP115192,SRR5924416,HSAEC,RVFV,18,infected,Total,PAIRED
SRP115192,SRR5924423,HSAEC,RVFV,18,mock,Total,PAIRED
SRP115192,SRR5924424,HSAEC,RVFV,18,mock,Total,PAIRED
SRP115192,SRR5924425,HSAEC,RVFV,18,mock,Total,PAIRED
