A549_DENV	T293_DENV	T293_hsv1	DC_EBOLA	NE_HRV	TCELL_HIV	CFBE_RSV	CFBE_STAPH	NEP_IAV	HFF_HCMV
NM_000017	-0.547005594277641	2.30689684832835	-0.938186915038594	0.0281585038918379	0.438929012605388	-0.272378320158566	-0.435482479765507	-0.394449001009008	-0.222796433280106	0.0296369442331965
NM_000024	1.24408474813212	-0.790515117201407	0.265590220458934	-1.09420972501237	-0.214416708738421	0.171399609421122	0.728368554081907	0.418185850744722	1.08300721348771	2.8262700487992
NM_000025	1.18854265130183	NA	-1.64031361008902	-1.05822788212149	NA	NA	0.965989585560677	1.92360717965575	3.7677904124493	2.98544447451787
NM_000028	-0.735012709768354	-0.198544253346523	3.24508984392297	2.8316928993121	NA	NA	1.13512326025465	-0.396421820672465	-1.55701799097692	2.10396699508546
NM_000029	0.0893037291670396	-1.37216340244038	0.80589810114282	-2.15814623590299	0.84911858899351	NA	2.40863751231231	NA	-1.07123633028009	3.32269898673458
NM_000030	NA	NA	NA	NA	NA	NA	3.6569318378632	-0.502848429759716	3.50268173448172	NA
NM_000035	1.88763613987887	-0.372082721497356	3.1275104305645	-1.35135298624667	-4.59019007342704	-0.07793325273265	-0.0340495050561387	-2.1002470495933	0.0825473624907653	3.91407828350089
NM_000042	-1.25190038128249	2.07051969547618	NA	-1.02257208192019	NA	NA	2.40863751231231	NA	NA	0.986262340126427
NM_000052	-0.467879674902187	0.037645513789419	-0.786360939493614	-0.139993712147447	1.26132193696955	-0.0345593681951275	0.15681849768805	0.489658646538911	-1.036162205744	-1.02636042026085
NM_000059	-0.629954452525073	0.0383053456084134	-1.16311100548549	0.831937392226312	1.87122933113982	-0.342145504636988	-0.196739590076913	-1.3792948126588	1.05679826188361	1.62081103858701
NM_000064	2.60634237751736	0.959189968324998	4.00854337724158	2.43630906425704	2.76300336673781	3.52380273965063	-0.150716280432669	2.21279581491635	1.48848349134548	-1.86787306144307
NM_000067	-2.14947705574288	0.512759708928553	-0.519461603405438	1.63165998193531	6.27258550130149	0.608098268691274	1.28616543473328	-2.1002470495933	2.42008206320051	5.01502984452178
NM_000073	NA	NA	NA	-0.177967304509575	NA	-0.0574493988732975	2.13706731038561	2.80320122204239	0.0968053267976143	NA
NM_000074	NA	-2.8147231359851	3.24508984392297	-0.51586726993584	-8.10800704743638	-0.537882866106351	2.13706731038561	4.10051890108789	1.76570879229418	2.10396699508546
NM_000075	-0.284500176138513	-0.1304108109569	-1.57114917939555	0.0390876589939101	-0.671204771109718	-0.137828312473051	0.613100550955783	-0.0413354969763498	0.183722662509643	0.806486714172039
NM_000080	-0.227021922506377	2.07051969547618	0.589511378810736	NA	NA	NA	-1.03408716917869	-2.68078358504667	NA	0.833009176104448
NM_000084	0.3114040995742	-1.59589904882292	-5.40059660462509	-0.0117881410595318	-5.23172151217433	-1.88605492871857	-1.07761787320961	-0.64538761772258	NA	3.91407828350089
NM_000085	NA	NA	NA	1.81109880079017	1.93370018565873	NA	NA	2.78506476520363	-3.55982939853482	NA
NM_000089	0.00916317860187873	NA	NA	-3.48944467518078	5.16473317368273	-1.29532687091918	0.133597888857457	-0.907941012735841	-0.802961683191795	-3.3127322704174
NM_000090	-0.839523289872779	0.37446880689469	-1.04727302299522	-1.11376278915304	-5.34554961775639	4.39360787231275	0.286438540473959	0.674895127289301	-1.24756991615919	-4.87900356746829
NM_000095	-0.699099768725319	-0.542547782523514	5.47472408401237	NA	7.39695748259873	0.93370218996822	0.84512787168494	0.346222435680758	0.568675098867465	-3.10994566080318
NM_000098	-1.18911624580824	2.95153955932008	3.24508984392297	0.460273977057227	NA	0.0605477649176915	-0.225641812822377	-3.9056596890812	2.40891484437411	-2.21665717344782
