A549_DENV	T293_DENV	T293_hsv1	DC_EBOLA	NE_HRV	TCELL_HIV	CFBE_RSV	CFBE_STAPH	NEP_IAV	HFF_HCMV
NM_000017	1	0.786513090691189	1	1	1	1	1	1	1	1
NM_000024	1	1	1	1	1	1	1	1	1	2.48832578062884e-05
NM_000025	NA	NA	NA	1	NA	NA	1	1	NA	0.479460178981934
NM_000028	NA	NA	NA	NA	NA	NA	1	1	NA	NA
NM_000029	NA	NA	NA	NA	1	NA	NA	NA	NA	6.29114683456671e-12
NM_000030	NA	NA	NA	NA	NA	NA	0.000883083640067203	1	NA	NA
NM_000035	1	NA	0.202622449296984	NA	0.0956082238261195	NA	NA	NA	1	NA
NM_000042	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
NM_000052	1	1	1	1	0.797976462602751	1	1	1	1	1
NM_000059	1	1	1	1	0.0193623946998925	1	1	1	1	0.345387382620526
NM_000064	4.01108965277721e-111	1	3.5178050144031e-05	0.147332533713897	2.28956132039416e-05	0.579789683037169	1	0.00655713307177643	1	0.0905116139287539
NM_000067	NA	1	1	1	0.00710760561852345	NA	1	NA	NA	0.0971090764750189
NM_000073	NA	NA	NA	NA	NA	1	1	1	NA	NA
NM_000074	NA	NA	NA	1	0.000241015903158407	1	1	0.247198812961226	1	NA
NM_000075	1	1	0.383491170474243	1	1	1	1	1	1	1
NM_000080	1	NA	1	NA	NA	NA	1	NA	NA	1
NM_000084	NA	NA	0.0422690266742108	NA	0.0345897629990773	NA	1	1	NA	NA
NM_000085	NA	NA	NA	NA	0.0295675786209788	NA	NA	NA	0.157031416750777	NA
NM_000089	NA	NA	NA	1	0.0391450249161699	1	1	1	1	4.55207307570212e-11
NM_000090	1	1	1	NA	9.01236368311436e-07	NA	1	1	1	7.5343618356611e-34
NM_000095	NA	1	2.55781446137768e-14	NA	8.36829614157522e-07	NA	1	1	1	4.01221229689331e-08
NM_000098	NA	NA	NA	1	NA	NA	1	NA	NA	0.979593354670888
NM_000099	1	1	1	1	1	1	1	1	1	1
NM_000100	1	1	1	1	1	1	1	1	1	1
NM_000101	1	1	1	1	1	1	1	1	NA	1
NM_000102	NA	NA	NA	NA	NA	NA	1	1	1	NA
NM_000104	1	1	9.24299844551468e-08	1	3.2117710666935e-11	1	1	1	1	3.1671569091231e-05
NM_000107	1	1	0.0956155549082885	1	1	1	1	1	1	1
NM_000118	NA	NA	NA	1	0.618931291200548	NA	NA	NA	NA	1
NM_000120	NA	NA	NA	NA	1	NA	1	1	NA	NA
NM_000123	1	1	1	1	1	1	1	1	NA	1
NM_000127	1	1	1	1	1	1	1	1	1	0.00401975257627874
NM_000129	NA	NA	NA	1.93607580973618e-08	1	NA	1	NA	1	0.029494725414652
NM_000132	1	1	1	0.0557448380859514	0.0131461618203265	NA	1	1	1	1
NM_000138	1	1	1	1	1	1	1	1	1	1.89430640962426e-07
NM_000154	1	1	0.0124799068956984	1	1	1	1	1	1	1
NM_000155	1	1	0.815495131509096	1	0.0111511992395783	1	1	1	1	1
NM_000156	1	1	1	1	NA	1	1	1	NA	1
NM_000158	1	1	1	1	1	1	1	1	1	1
NM_000165	1	1	0.312583368772342	NA	1	NA	NA	NA	1	3.96468597884684e-11
NM_000168	NA	1	0.791151799509904	NA	1	NA	1	1	1	1
NM_000170	1	1	1	NA	NA	1	1	1	1	5.36373908574913e-13
NM_000173	1	NA	1	1	NA	1	1	1	1	NA
NM_000182	1	1	1	1	1	1	1	1	1	1
NM_000184	NA	NA	NA	1	NA	NA	NA	NA	NA	NA
NM_000185	1	NA	NA	1	0.00903421056966791	NA	1	NA	1	NA
NM_000189	1	NA	0.00112789406384274	1	NA	1	1	1	NA	NA
NM_000191	1	1	1	1	1	1	1	1	1	1
NM_000193	1	NA	0.0351125336014508	NA	NA	NA	1	1	NA	0.00368753369684656
NM_000194	1	1	1	1	1	1	1	1	1	1
NM_000196	1	1	1	NA	0.295228683043142	NA	1	1	1	2.24362486897957e-05
NM_000201	1.46408305024599e-213	1	2.65535486931365e-18	0.357131735259181	0.967043669671199	1	1	0.390445854637859	0.17390759075933	1
NM_000206	0.0962842649180453	NA	1	1	0.593908211383233	1	1	1	0.0909965353478899	1
NM_000209	NA	NA	1	NA	NA	NA	1	0.247549737351974	NA	0.485253075375469
NM_000212	1	1	1	1	0.0121678312802777	1	1	1	1	1
NM_000214	1	1	1	1	1	1	1	1	1	1
NM_000216	NA	1	1	NA	1	NA	1	0.727766050680248	1	0.744333188482799
NM_000217	NA	1	0.0807566774477532	NA	NA	NA	1	NA	1	1.10111853186962e-09
NM_000218	NA	NA	1	1	0.297575004752302	NA	1	1	NA	NA
NM_000219	NA	NA	NA	1	NA	NA	1	1	NA	NA
NM_000223	1	NA	NA	NA	NA	NA	1	NA	1	NA
NM_000224	NA	NA	NA	NA	1	NA	NA	NA	NA	1
NM_000226	NA	NA	NA	NA	NA	NA	0.143016081273863	NA	1	0.020709021141542
NM_000229	1	1	1	1	0.82980396014762	1	1	1	1	0.00101855905984102
NM_000232	1	1	1	1	1	1	1	1	1	1
NM_000237	NA	1	1	1	0.0143179544885133	NA	1	1	0.00386967314697199	4.07578438357791e-14
NM_000239	NA	NA	1	1	1	1	1	1	1	NA
NM_000250	NA	NA	NA	1	NA	1	NA	NA	1	0.0283335935484912
NM_000255	1	1	0.015950673111833	1	1	1	1	1	NA	1
NM_000256	1	NA	2.4666305992681e-17	1	0.00219579904076095	NA	1	0.816663497179081	1	NA
NM_000258	NA	NA	NA	NA	NA	NA	1	1	NA	0.0492217542668012
NM_000262	1	1	0.0669700314085357	1	0.708020991587731	1	1	1	NA	1
NM_000265	NA	NA	NA	4.45636957791229e-15	1	0.246531636455064	NA	NA	0.707720717368808	NA
NM_000266	NA	NA	1.2183378011627e-09	1	0.00130240621946607	NA	NA	NA	NA	1
NM_000270	1	1	1	1	1	1	1	1	1	0.000486428454056287
NM_000271	1	NA	0.619528469622065	1	NA	NA	1	1	NA	1
NM_000286	1	1	1	1	1	1	1	1	1	1
NM_000290	1	NA	1	1	NA	1	1	1	1	1
NM_000291	1	1	1	1	1	1	1	1	1	1
NM_000292	1	NA	1	NA	NA	NA	1	1	NA	1
NM_000293	1	NA	NA	1	NA	NA	1	1	1	1
NM_000294	1	1	1	1	1	1	1	1	1	1
NM_000301	NA	NA	NA	NA	1	NA	1	NA	1	NA
NM_000303	1	NA	NA	1	0.0329657984526392	1	1	1	1	1
NM_000317	1	1	0.346594051810043	1	1	1	1	1	1	1
NM_000321	1	1	1	1	1	1	1	1	1	0.334959932375493
NM_000324	NA	NA	NA	1	NA	NA	NA	NA	NA	NA
NM_000325	NA	1	0.466521729386196	NA	NA	NA	1	1	NA	1
NM_000327	1	1	1	1	1	1	1	1	1	1
NM_000333	1	NA	0.219060749178264	1	0.787490378457386	NA	1	1	NA	1
NM_000334	1	1	1	NA	0.00365972576564927	NA	1	1	NA	1
NM_000346	1	1	0.552286458940622	NA	1	NA	1	1	1	0.0622527420279477
NM_000349	1	NA	1	1	0.0123393958798574	NA	1	1	1	1
NM_000350	1	NA	NA	1	1	NA	1	1	1	4.78283526157924e-07
NM_000351	NA	NA	NA	NA	NA	NA	1	1	1	NA
NM_000353	1	NA	NA	NA	1	NA	1	1	1	NA
NM_000355	NA	NA	NA	1	0.157124383913696	NA	1	1	NA	NA
NM_000358	1	1	0.90575836884287	1	0.344787163961773	NA	1	1	0.184873007522223	4.71176461056073e-09
NM_000359	1	1	1	0.463200734767302	1	1	1	1	1	1
NM_000361	1	1	0.155166948658953	1	1	NA	1	0.169847818894973	1	0.497586750687232
NM_000362	1	1	0.31035840632339	1	1	NA	1	1	1	3.66710274131707e-15
NM_000363	1	NA	1	NA	1	NA	1	1	1	3.1570125200133e-05
NM_000370	1	1	NA	NA	0.124781797141307	NA	1	1	NA	3.04985807224156e-07
NM_000383	NA	NA	3.96235670081479e-08	NA	NA	NA	NA	1	NA	1
NM_000384	NA	NA	NA	NA	NA	NA	1	2.27633244855989e-05	1	0.747558984214636
NM_000386	1	1	0.0811715247203457	1	1	1	1	1	1	1
NM_000387	1	1	0.0134590673462248	1	0.760644755481175	1	1	1	1	1
NM_000391	1	1	0.461754077973188	1	1	1	1	1	1	0.942938648590207
NM_000393	1	NA	1	NA	NA	NA	1	1	NA	0.000263748355133143
NM_000396	1	1	1	1	1	1	1	1	1	0.00686542954935047
NM_000397	1	1	1	0.276712059466476	0.00119494683295038	0.00143316812166333	1	1	0.00312401548029213	NA
NM_000398	NA	NA	NA	1	0.216179263637029	NA	NA	NA	NA	0.0770922816716354
NM_000403	1	NA	1	1	NA	NA	1	1	NA	1
NM_000405	1	1	1	1	1	1	1	1	1	1
NM_000417	NA	NA	NA	1	NA	1	NA	NA	1	NA
NM_000422	1.39040492723174e-23	NA	1	1	1	NA	0.00206528306824561	0.961162384676299	1	2.82953244156138e-05
NM_000423	NA	NA	NA	NA	1	NA	1	NA	1	NA
NM_000424	NA	NA	0.0165117338747784	NA	1	NA	1	1	1	NA
NM_000428	1	NA	NA	1	0.889539083094706	NA	1	1	NA	1.23029464553212e-06
NM_000429	NA	1	0.0222456021395374	1	1	NA	1	2.27298987326009e-11	1	0.0187836406156644
NM_000430	1	1	1	1	1	1	1	1	NA	1
NM_000434	1	1	1	1	1	1	1	1	1	0.000690824729090875
NM_000435	1	1	NA	NA	1	NA	1	1	1	1
NM_000441	NA	NA	NA	NA	0.163117380380576	1	1	1	NA	1
NM_000442	NA	NA	NA	1	1	1	1	1	NA	NA
NM_000446	1	NA	0.460294056917687	NA	1	NA	1	1	NA	NA
NM_000450	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NM_000451	NA	NA	NA	NA	NA	NA	1	NA	NA	1
NM_000454	1	1	1	1	1	1	1	1	1	1
NM_000455	1	1	1	1	1	NA	1	1	NA	1
NM_000463	1	NA	NA	NA	1	NA	1	1	1	NA
NM_000474	1	1	1	1	NA	1	1	1	NA	1
NM_000475	1	1	NA	NA	NA	NA	1	1	NA	1
NM_000477	NA	NA	NA	NA	0.0956082238261195	NA	1	0.636929886605208	1	NA
NM_000479	1	1	0.000290361079021111	NA	0.0463456883786721	NA	1	1	NA	1
NM_000480	NA	NA	NA	NA	0.67270083006622	NA	1	1	NA	1
NM_000485	1	1	1	1	0.807474253415399	1	1	1	1	1
NM_000486	NA	NA	NA	NA	1	NA	NA	NA	1	NA
NM_000491	NA	NA	NA	1	0.0956082238261195	NA	NA	NA	NA	NA
NM_000492	1	NA	NA	NA	1	NA	1	1	1	0.130352375934856
NM_000494	1	NA	1	NA	0.752385574486958	NA	1	1	1	1
NM_000502	NA	NA	1	1	NA	NA	NA	NA	1	NA
NM_000507	NA	NA	NA	1	1	NA	1	1	NA	1
NM_000508	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
NM_000509	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
NM_000517	NA	NA	5.74847266509774e-11	1	NA	NA	NA	NA	1	NA
NM_000518	NA	NA	NA	1	1.9579154248911e-06	NA	NA	NA	1	NA
NM_000519	NA	NA	NA	1	NA	1	NA	NA	NA	NA
NM_000521	1	1	1	1	1	1	1	1	NA	1
NM_000522	1	1	0.591439293587938	NA	NA	NA	1	1	NA	0.118546349600146
NM_000523	NA	1	1	NA	NA	NA	1	1	NA	0.0122672204711426
NM_000525	1	1	1	NA	NA	NA	1	1	NA	0.00612494226538535
NM_000526	0.000527712572550166	NA	0.0808714082062797	NA	1	NA	0.259994532335002	1	1	NA
NM_000537	NA	NA	NA	NA	1	NA	1	1	1	1
NM_000538	1	1	8.29102952679556e-06	1	1	1	1	1	1	0.835561350299891
NM_000551	1	1	0.522779094539216	1	1	1	1	1	1	1
NM_000552	NA	NA	1	1	1	NA	1	1	1	1
NM_000553	1	1	1	1	0.669134870863653	1	1	1	NA	1
NM_000558	NA	NA	7.89954195666448e-31	1	0.0177017556058941	NA	1	NA	1	0.009432280988626
NM_000559	NA	NA	NA	1	NA	NA	NA	NA	NA	NA
NM_000572	NA	NA	0.888715780424788	1	0.755784866716732	1	1	1	0.0155180123888534	NA
NM_000575	3.04122849863373e-14	NA	1	1.12912018119075e-07	0.000455514534191754	1	1	1	1	0.682876118015714
NM_000576	NA	NA	NA	0.831481735659731	NA	NA	NA	NA	1	NA
NM_000584	5.77249145960759e-141	NA	1	1.09961169756646e-25	1	1	0.000115681724449668	8.86312568043417e-50	1	0.0118316934805343
