RSV_A549	EBV_AGS	DENV2_A549	HEV_HepG2	ROTAV_HInEpC	EBOV_DC	HRV_HNEpC	EBOV_ARPE19	RVFV_HSAEpC	RVFV_HSAEC	HSV1_KMB17	SeV_HGC27	SeV_Namalwa	RSV_CFBE	HSV1_HEK293	HBV_HepG2	IAV_ATII	HCMV_MRC5	HSV1_MRC5	ADV_MRC5	IAV_A549	HSV1_THP1	HSV1_HFF	CCHFV_HepG2	HTNV_HUVEC	HPV_HFK	WNV_A549	MERS_calu3	IAV_HeLa	IAV_A549.1	ZIKV_A549	EBV_BCells	PoRV_HEK293A	IAV_A549.2	IAV_A549.3	EBV_BLymphoma	IAV_293T	IAV_A549.4	SARS.CoV.2_iPSC.cardiomyocyte	ADV_IMR90	HIV1_CD4TCELL	HSV2_HFF	HCMV_HFF	HCMV_NPC	HCMV_EC	VZV_MeWo	ORFV_HFF	DENV2_HUH751	ZIKV_HUH751	Enterovirus_Rhabdomyosarcoma	DENV2_Huh7	ZIKV_hNSC	HIV1_CD4TCELL.1	HuNoV_ileum.organoid	MERS.CoV_CALU3	HCV_HUH751	DENV2_HEK293	HCV_ML1	HCV_Huh7	HCV_Thyrocytes	RSV_A549.1	RSV_H292	RSV_HBEC	ZIKV_HepG2	RSV_A549.2	IAV_A549.5	HPIV3_A549	SARS.CoV.2_A549.ACE2	SARS.CoV.2_DC	SARS.CoV.2_MAC	SARS.CoV.2_PHAE	HCMV_NTT
NM_012102	6864	4457	2392	13577	835	4535	5944	3562	5899	5899	9008	5343	5924	1711	16821	2533	5715	6428	2400	4649	4334	4961	2652	3320	2501	4959	4517	3779	1251	13428	3679	13242	1062	4570	6391	14602	2492	6570	7415	3575	12559	5534	6047	14752	7612	1997	3516	3389	3514	4039	3857	2845	4331	3568	4541	3941	11760	3426	2366	4805	6278	6182	17319	2490	3670	3670	3600	5012	4589	4926	4344	3608
NM_001320283	8022	4458	6294	4365	6285	4536	5945	3563	5900	5900	7418	5344	6236	7505	1808	570	5716	6429	5696	4650	7869	4962	7504	3321	16787	4960	4518	3780	7918	4931	3680	5800	1063	4571	9339	6303	4733	6571	9583	3576	17607	5535	1473	13484	5266	1998	3517	3390	3515	4040	3858	2846	4332	3569	4542	3942	862	3427	2367	4806	6279	6183	5685	2491	3671	3671	3601	5013	4590	4927	4345	3609
NM_006699	15750	14819	16915	17477	12540	16557	13731	425	2178	2178	6207	17443	14923	14904	1348	5711	15106	16304	16439	15808	16685	15663	16879	1941	17257	4616	17125	13206	605	15647	14156	1682	528	17169	14024	2066	5833	17591	11191	14489	12086	14618	10746	6806	6630	17670	15111	3084	16171	17651	1051	15541	277	1183	15405	3844	13175	15158	15506	2668	14372	12560	4865	16236	17700	1361	1899	17190	16054	16768	16329	1360
NR_126003	7992	4459	6295	4366	1927	4537	5946	3564	1721	1721	6178	5345	5879	136	15071	299	5717	6430	1388	4651	2230	4963	1956	3322	4816	4961	4519	3781	1206	4932	3681	5801	1064	4572	2703	6304	2079	6572	6998	3577	6198	5536	12571	1307	7613	1999	3518	3391	3516	4041	3859	2847	4333	3570	4543	3943	16240	3428	2368	4807	6280	6184	13246	2492	3672	3672	3602	5014	4591	4928	4346	3610
NM_003568	16825	276	16757	17299	15150	17516	3562	16550	14099	14099	16959	3988	5628	836	122	13870	16488	17155	5258	2580	17047	4670	11820	17393	17254	1945	16814	1220	7893	3996	15186	13488	1065	15937	14003	4680	13866	6024	9100	15510	15850	4795	16195	12826	16485	2000	1065	16099	16264	1842	2889	1121	2900	16703	17170	2211	10094	2951	917	13116	17064	17721	5180	818	17341	3351	17677	16717	16398	14559	14795	17051
NM_030806	14411	31	14784	2563	10494	17452	15262	15403	13539	13539	16805	4389	12204	13929	1838	15892	12380	16502	14190	16944	15418	16735	11876	3323	1384	1399	4128	12485	16363	16320	241	5001	1055	17565	11732	279	17078	16246	17222	14634	4646	13843	14272	16425	6365	16448	1218	17280	17539	16166	17397	17078	3447	16477	17109	14972	10661	3429	16446	3454	15341	16189	15930	2493	15588	2786	820	4360	14264	4784	17522	15580
NM_003953	3134	4263	5263	4367	4189	3778	5947	16678	3797	3797	4847	5346	15098	1778	14334	4992	13644	3730	3625	2254	3531	4964	13833	3324	15780	3221	4301	3782	13326	16080	3682	3850	1066	15656	12891	14891	5277	12564	8176	16822	3796	14874	13240	4746	13441	2001	14496	14126	14856	2976	13783	2848	4334	2630	14972	1422	12439	15027	2369	14741	6084	5200	14316	2494	3673	3673	3603	5015	16695	16530	1893	15698
NM_001305275	5413	1879	2481	234	658	1066	5948	3565	5901	5901	5992	14649	1826	1484	13460	14889	1888	3819	5697	4652	3146	152	5204	3325	4817	17266	1044	3783	12638	4933	3683	5802	1067	4573	5293	6305	7805	2121	7560	3578	6290	3328	6496	15058	7317	2002	3519	3392	3517	4042	3860	2849	4335	302	4160	3944	470	15560	2370	274	11550	1731	272	2495	1524	3674	3604	837	2907	4929	4347	3611
NM_181864	2340	4460	966	4368	6286	4538	5949	3566	3687	3687	11307	5347	16196	16373	7527	6052	11852	13355	5698	14808	4802	4965	6585	3326	628	14635	2505	3784	7489	17424	3684	5803	1068	16420	13882	13869	3614	4936	11265	3579	12808	15055	15023	3615	16879	15815	3520	3393	3518	4043	3861	2850	4336	3571	4544	3945	12935	17241	2371	1481	936	2032	3806	2496	14844	3675	3605	15009	4592	4930	4242	3612
NM_001364727	4778	15879	6296	4369	1889	4539	5950	3567	5902	5902	10961	5348	6237	7473	13172	3317	1512	6431	5699	4653	2812	4966	3725	3327	4818	4962	4520	1666	6882	4934	3685	5804	1069	4574	3217	13039	3597	2990	7938	3580	14807	4213	3497	12021	7614	2003	3521	3394	3519	4044	3862	2851	1895	3572	323	3946	17266	3430	2372	4275	6281	6129	5686	2497	3674	3676	3606	5016	4593	4931	4348	3613
